ra,dec,u,g,r,i,z,redshift,velocidad,distancia_arcmin,tipo
194.813992,27.906411,21.191,18.935,17.504,16.745,16.329,,,8.6031,estrella
194.81619,27.952908,17.253,16.324,15.997,15.887,15.868,,,7.4331,estrella
194.826472,27.715732,19.161,17.606,16.913,16.579,16.334,0.02226,6678.0,17.2474,galaxia
194.834057,27.885992,17.686,16.149,15.388,15.053,14.798,0.02162,6486.0,8.4789,galaxia
194.835282,27.861724,16.958,14.385,13.024,12.421,12.25,,,9.4725,estrella
194.838439,27.712679,17.187,15.914,15.432,15.269,15.197,,,17.1818,estrella
194.844255,27.896873,17.735,16.077,15.302,14.919,14.729,0.01719,5157.0,7.641,galaxia
194.844509,27.915357,16.748,15.327,16.278,14.596,14.53,,,6.9511,estrella
194.845215,27.795249,19.334,17.935,17.326,17.102,17.003,,,12.4996,estrella
194.847414,27.911604,16.251,14.468,13.572,13.195,13.005,,,6.956,galaxia
194.84755,27.919566,20.533,18.639,17.71,17.393,17.13,0.02311,6933.0,6.6767,galaxia
194.85321,27.939968,18.511,16.424,15.69,15.465,15.363,,,5.8183,estrella
194.853878,27.738832,17.743,15.99,15.194,14.804,14.51,0.02012,6036.0,15.4256,galaxia
194.855569,27.934487,19.577,17.689,17.021,16.698,16.548,0.02531,7593.0,5.853,galaxia
194.858293,27.927734,22.013,19.026,17.607,16.231,15.52,,,5.9325,estrella
194.860372,27.677515,17.899,16.466,15.957,15.795,15.738,,,18.8338,estrella
194.860416,27.770318,17.237,15.881,15.405,15.256,15.212,,,13.5347,estrella
194.862011,27.909497,17.127,30.958,17.469,17.838,29.227,,,6.4338,galaxia
194.863773,27.785052,18.94,17.472,16.758,16.422,16.136,0.02195,6585.0,12.6471,galaxia
194.865664,27.888374,19.139,17.67,17.137,16.952,16.882,,,7.2099,estrella
194.870131,27.937505,15.47,13.104,12.027,11.664,12.846,,,5.0913,estrella
194.872526,27.850157,17.227,15.397,14.553,14.102,13.842,0.02264,6792.0,8.9095,galaxia
194.874601,27.911691,19.572,18.25,17.747,17.572,17.434,,,5.8569,estrella
